wellname	depth	rop	wob	rpm	torque	spp	flwpmps
TestWell #1	45	4.39	0.40	75	1028	47	54
TestWell #1	50	4.39	0.40	75	1028	47	54
TestWell #1	55	0.88	1.80	76	1005	53	190
TestWell #1	60	0.18	1.90	76	1015	42	202
TestWell #1	65	0.17	2.30	77	1014	45	220
TestWell #1	70	0.10	2.30	77	1017	44	220
TestWell #1	75	0.54	1.10	80	1021	50	223
TestWell #1	80	0.25	1.60	80	1015	39	215
TestWell #1	85	0.60	2.00	80	1027	60	212
TestWell #1	90	0.22	4.20	85	1057	74	208
TestWell #1	95	0.14	5.00	85	1059	56	200
TestWell #1	100	0.10	4.00	85	1056	45	169
TestWell #1	105	0.11	3.90	85	1055	71	150
TestWell #1	110	0.11	3.90	85	1055	71	150
TestWell #1	115	0.11	3.90	85	1055	71	150
TestWell #1	120	0.11	3.90	85	1055	71	150
TestWell #1	125	0.11	3.90	84	1055	71	150
TestWell #1	130	0.11	3.90	84	1055	71	150
TestWell #1	135	0.11	3.90	84	1055	71	150
TestWell #1	140	0.11	3.90	84	1055	71	150
TestWell #1	145	0.10	5.70	84	1056	104	200
TestWell #1	150	0.10	5.70	83	1056	104	200
TestWell #1	155	0.20	6.00	83	1056	89	200
TestWell #1	160	0.20	6.00	84	1056	89	200
TestWell #1	165	0.30	6.00	84	1056	89	200
TestWell #1	170	0.80	3.90	84	981	88	162
TestWell #1	175	0.69	5.70	83	917	107	200
TestWell #1	180	0.19	5.60	83	918	103	200
TestWell #1	185	0.34	5.80	83	915	108	200
TestWell #1	190	1.38	5.90	83	911	112	200
TestWell #1	195	0.99	6.20	85	883	111	200
TestWell #1	200	0.50	6.00	85	842	120	200
TestWell #1	205	0.36	6.40	90	827	115	196
TestWell #1	210	1.23	6.70	90	819	133	200
TestWell #1	215	0.21	7.50	90	783	144	200
TestWell #1	220	0.16	7.70	90	777	149	200
TestWell #1	225	0.17	8.30	90	773	145	200
TestWell #1	230	0.86	9.90	89	756	131	198
TestWell #1	235	0.26	10.10	89	740	137	200
TestWell #1	240	2.07	9.20	90	708	160	193
TestWell #1	245	0.32	12.10	90	654	159	200
TestWell #1	250	0.42	12.10	90	639	183	200
TestWell #1	255	0.56	8.70	90	627	187	167
TestWell #1	260	0.56	8.70	90	627	187	167
TestWell #1	265	0.56	8.70	90	627	187	167
TestWell #1	270	1.00	6.20	90	544	78	92
TestWell #1	275	0.40	8.00	90	498	43	129
TestWell #1	280	0.14	8.80	92	697	95	189
TestWell #1	285	0.09	9.20	92	1028	87	200
TestWell #1	290	0.23	9.90	92	1036	144	182
TestWell #1	295	2.06	9.60	92	1028	160	170
TestWell #1	300	8.66	8.70	92	1005	178	146
TestWell #1	305	0.20	0.00	91	956	202	200
TestWell #1	310	0.20	0.00	92	957	202	200
TestWell #1	315	0.20	1.40	91	957	191	200
TestWell #1	320	0.20	4.00	92	956	180	200
TestWell #1	325	0.16	0.00	92	950	230	189
TestWell #1	330	0.08	0.00	91	948	276	200
TestWell #1	335	0.08	0.00	91	948	276	200
TestWell #1	340	0.01	0.00	91	942	335	200
TestWell #1	345	0.01	0.00	91	942	331	200
TestWell #1	350	0.44	2.50	91	940	338	170
TestWell #1	355	0.23	3.50	90	936	350	187
TestWell #1	360	0.15	3.40	89	935	346	200
TestWell #1	365	0.11	3.00	92	933	358	200
TestWell #1	370	0.10	3.00	92	934	356	200
TestWell #1	375	0.15	4.20	92	923	405	174
TestWell #1	380	0.02	4.30	91	935	321	200
TestWell #1	385	0.18	5.30	91	923	404	59
TestWell #1	390	0.18	5.30	91	923	404	59
TestWell #1	395	0.18	5.30	92	923	404	59
TestWell #1	400	0.18	5.30	92	923	404	59
TestWell #1	405	0.10	5.70	92	920	343	0
TestWell #1	410	0.10	5.70	92	920	343	0
TestWell #1	415	0.10	5.20	92	920	352	0
TestWell #1	420	0.10	8.60	92	920	382	0
TestWell #1	425	0.30	9.00	92	868	380	285
TestWell #1	430	0.28	9.10	92	883	390	287
TestWell #1	435	0.72	5.00	92	908	390	287
TestWell #1	440	0.03	5.00	90	782	350	249
TestWell #1	445	0.11	5.00	92	933	358	200
TestWell #1	450	0.10	6.00	92	934	356	200
TestWell #1	455	0.15	6.20	92	923	405	174
TestWell #1	460	0.02	6.00	91	935	321	200
TestWell #1	465	0.18	5.30	91	923	404	59
TestWell #1	470	0.18	5.30	91	923	404	59
TestWell #1	475	0.18	5.30	92	923	404	59
TestWell #1	480	0.18	5.30	92	923	404	59
TestWell #1	485	0.10	5.70	92	920	343	0
TestWell #1	495	0.10	5.20	92	920	352	0
TestWell #1	500	0.10	8.60	92	920	382	0
TestWell #1	505	0.18	5.30	91	923	404	59
TestWell #1	510	0.18	5.30	92	923	404	59
TestWell #1	515	0.18	5.30	92	923	404	59
TestWell #1	520	0.10	5.70	92	920	343	0
TestWell #1	525	0.10	5.20	92	920	352	0
TestWell #1	530	0.10	8.60	92	920	382	0
TestWell #1	535	0.30	9.00	91	868	410	285
TestWell #1	540	0.18	9.90	91	1508	416	291
TestWell #1	545	0.18	9.90	91	1508	416	291
TestWell #1	550	0.18	8.10	92	2194	664	290
TestWell #1	555	0.13	8.70	91	2228	707	290
TestWell #1	560	0.16	8.30	92	2263	894	290
TestWell #1	565	0.16	8.30	92	2263	894	290
TestWell #1	570	0.27	8.20	92	2409	914	286
TestWell #1	575	0.11	8.80	91	2792	956	282
TestWell #1	580	0.11	8.30	103	2822	941	286
TestWell #1	585	0.11	8.50	101	2847	943	285
TestWell #1	590	0.11	8.80	101	2877	952	284
TestWell #1	595	0.10	8.00	101	2911	950	284
TestWell #1	600	0.09	8.60	116	2940	965	285
TestWell #1	605	0.09	7.60	116	2940	965	285
TestWell #1	610	0.09	7.60	116	2940	965	285
TestWell #1	615	0.09	7.60	116	2940	965	285
TestWell #1	620	0.09	7.60	116	2940	965	285
TestWell #1	625	0.01	7.00	101	3381	924	229
TestWell #1	630	0.26	7.00	101	3402	1030	266
TestWell #1	635	0.14	7.30	100	3436	1045	287
TestWell #1	640	0.12	7.50	100	3458	1031	287
TestWell #1	645	0.09	7.00	116	3492	1046	286
TestWell #1	650	0.11	7.00	101	3511	1041	287
TestWell #1	655	0.09	7.00	101	3541	1038	286
TestWell #1	660	0.07	7.00	101	3570	1049	287
TestWell #1	665	0.24	7.30	101	3647	1052	286
TestWell #1	670	0.05	7.00	100	4104	1071	280
TestWell #1	675	0.02	7.90	100	5242	1244	294
TestWell #1	680	0.03	7.60	101	5251	1243	295
TestWell #1	685	0.07	7.80	101	4162	1130	284
TestWell #1	690	0.34	7.60	101	5400	1235	288
TestWell #1	695	0.10	9.00	101	5678	1200	277
TestWell #1	700	0.05	8.90	98	5697	1197	277
TestWell #1	705	0.04	8.90	107	5693	1198	277
TestWell #1	710	0.04	9.00	113	5705	1204	277
TestWell #1	715	0.04	8.80	115	5718	1213	277
TestWell #1	720	0.04	9.00	86	5985	1264	279
TestWell #1	725	0.09	9.50	80	6255	1320	280
TestWell #1	730	0.09	9.00	77	4792	1202	286
TestWell #1	735	0.09	9.00	77	4792	1202	286
TestWell #1	740	0.65	10.10	79	6370	1328	280
TestWell #1	745	0.11	7.70	83	6716	1386	282
TestWell #1	750	0.12	7.50	80	6726	1391	280
TestWell #1	755	0.15	9.40	87	6748	1384	279
TestWell #1	760	0.16	9.90	83	6789	1375	280
TestWell #1	765	0.14	11.70	80	6826	1399	279
TestWell #1	770	0.14	12.50	80	6865	1409	310
TestWell #1	775	0.10	12.50	80	6833	1410	280
TestWell #1	780	0.41	9.80	88	6989	1401	240
TestWell #1	785	0.17	7.30	89	7350	1408	0
TestWell #1	790	0.13	8.50	85	7358	1408	0
TestWell #1	795	0.14	8.20	88	7382	1396	0
TestWell #1	800	0.21	7.60	87	7383	1392	0
TestWell #1	805	0.20	7.80	84	7402	1396	0
TestWell #1	810	0.17	7.90	84	7420	1388	0
TestWell #1	815	0.20	7.10	80	7512	1417	241
TestWell #1	820	0.22	6.70	88	7783	1500	311
TestWell #1	825	0.13	7.60	85	7801	1489	284
TestWell #1	830	0.20	7.00	73	7831	1503	453
TestWell #1	835	0.18	7.20	73	7876	1499	440
TestWell #1	840	0.15	7.50	70	7898	1493	282
TestWell #1	845	0.10	6.90	77	7984	1508	409
TestWell #1	850	0.20	7.00	82	8195	1537	578
TestWell #1	855	0.09	7.30	73	8255	1529	578
TestWell #1	860	0.12	7.70	76	8269	1547	580
TestWell #1	865	0.12	8.10	70	8295	1542	576
TestWell #1	870	0.11	8.30	74	8313	1531	577
TestWell #1	875	0.12	8.70	71	8333	1537	580
TestWell #1	880	0.10	7.40	75	8477	1561	582
TestWell #1	885	0.13	7.40	105	8739	1598	586
TestWell #1	890	0.09	8.40	100	8744	1590	589
TestWell #1	895	0.11	8.70	87	8746	1590	583
TestWell #1	900	0.11	9.30	76	8755	1610	588
TestWell #1	905	0.14	8.50	76	8769	1596	591
TestWell #1	910	0.20	7.00	76	8856	1598	588
TestWell #1	915	0.15	7.00	107	9051	1591	587
TestWell #1	920	0.14	7.20	108	9061	1590	586
TestWell #1	925	0.13	7.30	103	9079	1583	583
TestWell #1	930	0.13	7.50	100	9103	1592	588
TestWell #1	935	0.11	8.00	101	9122	1596	582
TestWell #1	940	0.10	6.80	86	9182	1585	585
TestWell #1	945	0.11	5.80	73	9345	1522	571
TestWell #1	950	0.12	6.90	74	9352	1509	564
TestWell #1	955	0.10	6.50	74	9361	1528	574
TestWell #1	960	0.08	6.00	75	9365	1516	570
TestWell #1	965	0.15	6.80	78	9378	1519	573
TestWell #1	970	0.10	7.00	75	9611	1531	860
TestWell #1	975	0.18	7.00	87	9729	1570	575
TestWell #1	980	0.13	6.30	101	9747	1613	586
TestWell #1	985	0.12	6.50	98	9759	1607	590
TestWell #1	990	0.13	6.00	96	9774	1628	589
TestWell #1	995	0.09	7.10	91	9785	1619	589
TestWell #1	1000	0.11	7.20	83	9793	1629	587
TestWell #1	1005	0.34	6.00	80	9840	1610	586
TestWell #1	1010	0.11	6.90	105	9977	1566	575
TestWell #1	1015	0.50	6.10	79	10087	1555	575
TestWell #1	1020	0.14	6.80	72	10019	1560	576
TestWell #1	1025	0.13	7.00	74	10080	1564	575
TestWell #1	1030	0.23	7.30	77	10181	1560	577
TestWell #1	1035	0.20	7.50	73	10245	1559	574
TestWell #1	1040	0.14	6.00	108	10379	1528	575
TestWell #1	1045	0.14	6.20	104	10395	1544	575
TestWell #1	1050	0.14	6.60	95	10370	1538	575
TestWell #1	1055	0.18	6.40	89	10375	1522	576
TestWell #1	1060	0.17	6.40	82	10473	1542	575
TestWell #1	1065	0.20	7.60	80	10557	1537	575
TestWell #1	1070	0.26	7.60	86	10610	1529	574
TestWell #1	1075	0.17	6.00	89	10633	1551	574
TestWell #1	1080	0.25	6.20	87	10687	1541	576
TestWell #1	1085	0.21	6.20	84	10699	1561	576
TestWell #1	1090	0.13	6.10	88	10710	1541	576
TestWell #1	1095	0.12	5.90	88	10734	1561	575
TestWell #1	1100	0.10	6.50	80	10470	1574	571
TestWell #1	1105	0.13	5.90	83	10156	1536	560
TestWell #1	1110	0.30	4.40	85	10205	1595	572
TestWell #1	1115	0.20	3.70	80	10330	1606	581
TestWell #1	1120	0.13	4.30	85	10341	1607	580
TestWell #1	1125	0.18	4.40	86	10361	1597	581
TestWell #1	1130	0.20	4.10	80	10505	1594	576
TestWell #1	1135	0.12	5.10	84	10648	1545	568
TestWell #1	1140	0.12	5.60	83	10636	1546	566
TestWell #1	1145	0.13	5.80	87	10640	1547	567
TestWell #1	1150	0.12	5.70	87	10616	1540	575
TestWell #1	1155	0.17	5.90	82	10634	1528	571
TestWell #1	1160	0.20	5.90	80	10633	1546	547
TestWell #1	1165	0.41	3.30	82	10854	1623	522
TestWell #1	1170	0.16	4.30	80	10846	1628	479
TestWell #1	1175	0.13	4.60	80	10908	1638	501
TestWell #1	1180	0.24	5.50	80	10945	1634	495
TestWell #1	1185	0.21	5.40	80	10982	1643	480
TestWell #1	1190	0.14	5.20	82	11019	1650	476
TestWell #1	1195	0.20	5.00	78	11180	1661	463
TestWell #1	1200	0.12	4.70	85	11476	1677	428
TestWell #1	1205	0.13	5.70	87	11479	1675	368
TestWell #1	1210	0.17	5.30	89	11478	1678	303
TestWell #1	1215	0.16	5.50	83	11483	1670	407
TestWell #1	1220	0.16	5.20	86	11504	1684	310
TestWell #1	1225	0.20	5.20	88	11640	1672	476
TestWell #1	1230	0.11	4.60	109	11759	1626	295
TestWell #1	1235	0.13	5.70	105	11776	1648	297
TestWell #1	1240	0.11	3.80	100	11782	1649	340
TestWell #1	1245	0.14	5.20	76	11784	1646	553
TestWell #1	1250	0.11	4.90	71	11779	1649	570
TestWell #1	1255	0.33	3.50	73	11768	1642	575
